,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_f1 macro,split1_test_f1 macro,split2_test_f1 macro,split3_test_f1 macro,split4_test_f1 macro,mean_test_f1 macro,std_test_f1 macro,rank_test_f1 macro,split0_test_f1 micro,split1_test_f1 micro,split2_test_f1 micro,split3_test_f1 micro,split4_test_f1 micro,mean_test_f1 micro,std_test_f1 micro,rank_test_f1 micro,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0,1494.450559234619,26.287843150614314,0.2270349979400635,0.0895495517967136,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.8817719884600379,0.8673611791963098,0.8670495595883836,0.8711492821001483,0.8866849153199372,0.8748031081795155,0.00798212966881524,12,0.8834652228238236,0.8696883852691218,0.869,0.8730515962323915,0.8884628209403135,0.8767333333333334,0.00782135597986518,12,0.8834652228238234,0.8696883852691218,0.869,0.8730515962323915,0.8884628209403135,0.8767333333333334,0.007821355979865162,12
1,315.27900247573854,22.446021175299087,0.3037252426147461,0.12616194311521686,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.905079200102821,0.897618857756717,0.8973116198777223,0.8966443971210397,0.9120237743370193,0.9017352799295191,0.005990516278618805,10,0.9063723448563099,0.8993501083152808,0.8986666666666666,0.8981412019671584,0.9133877959319773,0.9031833333333333,0.005912418323781316,10,0.9063723448563099,0.8993501083152808,0.8986666666666666,0.8981412019671584,0.9133877959319773,0.9031833333333333,0.005912418323781316,10
2,1565.143556547165,22.50785246148238,0.11799139976501465,0.006546146599251547,0.03,l1,saga,"{'C': 0.03, 'penalty': 'l1', 'solver': 'saga'}",0.9010440444098193,0.8896781762267221,0.8910697222169114,0.8916293364493247,0.9053194002755852,0.8957479427650734,0.006250364338003346,11,0.9023740108288213,0.891351441426429,0.8924166666666666,0.8931399516545803,0.9068022674224742,0.8972166666666667,0.006205230798456362,11,0.9023740108288213,0.891351441426429,0.8924166666666666,0.8931399516545803,0.9068022674224742,0.8972166666666667,0.006205230798456362,11
3,466.9271132469177,17.719733632134442,0.13854122161865234,0.019783322771686502,0.03,l2,saga,"{'C': 0.03, 'penalty': 'l2', 'solver': 'saga'}",0.9098921664536563,0.9040745328030427,0.9048767547942997,0.9024456487147987,0.9161218475090493,0.9074819531476643,0.004983813175383331,8,0.9111203665139526,0.9055990668221963,0.9061666666666667,0.903809285654747,0.9174724908302767,0.9088333333333334,0.0049527960439514325,8,0.9111203665139526,0.9055990668221963,0.9061666666666667,0.903809285654747,0.9174724908302767,0.9088333333333334,0.0049527960439514325,8
4,1588.397048187256,7.974535561249867,0.1233780860900879,0.008639856953466654,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.9107543319653357,0.9041171247103392,0.902022245990701,0.9045199964958451,0.9153717570391956,0.9073568738884767,0.004955124826551662,9,0.9119533527696793,0.9055157473754374,0.9032499999999999,0.9058097857797783,0.9166388796265422,0.9086333333333333,0.004934900158302184,9,0.9119533527696793,0.9055157473754374,0.90325,0.9058097857797783,0.9166388796265422,0.9086333333333333,0.0049349001583021595,9
5,941.5770788192749,32.842857537296034,0.12083735466003417,0.009410376824937729,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.9147031873407625,0.9075520970636125,0.9088757711699216,0.9065162325711269,0.9190323528918523,0.911335810574481,0.004778162030570649,7,0.9158683881715952,0.9089318446925513,0.9101666666666667,0.9078102859048095,0.9203901300433478,0.9126333333333333,0.00476784011595846,7,0.9158683881715952,0.9089318446925513,0.9101666666666667,0.9078102859048095,0.9203901300433478,0.9126333333333333,0.00476784011595846,7
6,1603.0756735801697,24.681568105511918,0.15406255722045897,0.021971683248547577,0.3,l1,saga,"{'C': 0.3, 'penalty': 'l1', 'solver': 'saga'}",0.9160579360773514,0.9097631134904886,0.9074510858243217,0.9095773385728376,0.9193561563104137,0.9124410203761895,0.004498025032460671,5,0.9171178675551853,0.9110148308615231,0.9086666666666666,0.9108110360923565,0.9206402134044681,0.91365,0.004488084179138882,5,0.9171178675551853,0.9110148308615231,0.9086666666666666,0.9108110360923565,0.9206402134044681,0.91365,0.004488084179138882,5
7,1187.747801876068,23.81603102540049,0.1472606658935547,0.06196123016751225,0.3,l2,saga,"{'C': 0.3, 'penalty': 'l2', 'solver': 'saga'}",0.9143693698904276,0.9084429045027139,0.9095726961875259,0.9075912893035095,0.9199289207721659,0.9119808068497262,0.0046138910135690445,6,0.9155351936693045,0.90976503916014,0.9108333333333334,0.9088938901392015,0.9213071023674558,0.9132666666666667,0.0046276637708006505,6,0.9155351936693045,0.90976503916014,0.9108333333333334,0.9088938901392015,0.9213071023674558,0.9132666666666667,0.0046276637708006505,6
8,1602.0495250225067,23.353367616013323,0.17381539344787597,0.0400620902666224,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.9156769980486394,0.9109022724167237,0.910365814840348,0.9093734954395506,0.9207395993689843,0.913411454533704,0.004258934959207689,1,0.9167846730528946,0.9121813031161473,0.9115833333333333,0.9106443277486038,0.922057352450817,0.91465,0.0042649884350277265,1,0.9167846730528946,0.9121813031161473,0.9115833333333333,0.9106443277486038,0.922057352450817,0.91465,0.0042649884350277265,1
9,1204.7545466899871,26.251190088555077,0.13422484397888185,0.02326417289427249,1,l2,saga,"{'C': 1, 'penalty': 'l2', 'solver': 'saga'}",0.915399795177566,0.9096628283662277,0.9098731281581385,0.9087751172356915,0.9196789291401167,0.9126778143416208,0.004209434491651348,4,0.9165347771761766,0.9110148308615231,0.9111666666666667,0.9100608485454696,0.920973657885962,0.91395,0.004182929567986144,4,0.9165347771761766,0.9110148308615231,0.9111666666666667,0.9100608485454696,0.920973657885962,0.91395,0.004182929567986144,4
10,1600.7989759922027,34.472025025606655,0.12791285514831544,0.025786630641610905,3,l1,saga,"{'C': 3, 'penalty': 'l1', 'solver': 'saga'}",0.9154113972865975,0.9102937161665696,0.910493442687246,0.9088426864545112,0.9196504678471994,0.9129382173298917,0.00402241498164342,2,0.9165347771761766,0.9115980669888352,0.91175,0.910144202717346,0.920973657885962,0.9142,0.004013468967377146,2,0.9165347771761766,0.9115980669888352,0.91175,0.910144202717346,0.920973657885962,0.9142,0.004013468967377146,2
11,1000.6862593650818,163.14165081323316,0.10024337768554688,0.014959022883526985,3,l2,saga,"{'C': 3, 'penalty': 'l2', 'solver': 'saga'}",0.9158263178869698,0.9101092926147253,0.9100669692720796,0.9084975464843996,0.9193336218728524,0.9127666916770005,0.004124267268453815,3,0.91695127030404,0.9114314280953174,0.9113333333333333,0.9098107860298408,0.9206402134044681,0.9140333333333334,0.004099773292258431,3,0.91695127030404,0.9114314280953174,0.9113333333333333,0.9098107860298408,0.9206402134044681,0.9140333333333334,0.004099773292258431,3
